ticker,gics_sector,industry
AAL,Industrials,Airlines
AAPL,Information Technology,Consumer Electronics
AAXN,Industrials,Aerospace & Defense
ABCB,Financials,Banks-Regional
ABMD,Health Care,Medical Devices
ACAD,Health Care,Biotechnology
ACIA,Information Technology,Communication Equipment
ADBE,Information Technology,Software—Infrastructure
ADI,Information Technology,Semiconductors
ADP,Information Technology,Staffing & Employment Services
ADSK,Information Technology,Software—Application
AGNC,Financials,REIT—Mortgage
AKAM,Information Technology,Software—Infrastructure
ALGN,Health Care,Medical Devices
ALRM,Information Technology,Software—Application
ALXN,Health Care,Biotechnology
AMAT,Information Technology,Semiconductor Equipment & Mate
AMBA,Information Technology,Semiconductor Equipment & Mate
AMD,Information Technology,Semiconductors
AMED,Health Care,Medical Care Facilities
AMGN,Health Care,Drug Manufacturers—General
AMZN,Consumer Discretionary,Internet Retail
ANDE,Consumer Staples,Food Distribution
ANSS,Information Technology,Software—Application
ARWR,Health Care,Biotechnology
ASML,Information Technology,Semiconductor Equipment & Mate
ATNX,Health Care,Drug Manufacturers—Specialty &
ATVI,Communication Services,Electronic Gaming & Multimedia
AVAV,Industrials,Aerospace & Defense
AVGO,Information Technology,Semiconductors
AVID,Information Technology,Electronic Gaming & Multimedia
AVT,Information Technology,Electronics & Computer Distrib
AXGN,Health Care,Medical Devices
AZPN,Information Technology,Software—Application
BBBY,Consumer Discretionary,Specialty Retail
BEAT,Health Care,Diagnostics & Research
BHF,Financials,Insurance—Life
BIDU,Communication Services,Internet Content & Information
BIIB,Health Care,Drug Manufacturers—General
BILI,Communication Services,Electronic Gaming & Multimedia
BKNG,Consumer Discretionary,Travel Services
BLDP,Industrials,Specialty Industrial Machinery
BLDR,Industrials,Building Products & Equipment
BLMN,Consumer Discretionary,Restaurants
BLUE,Health Care,Biotechnology
BMRN,Health Care,Biotechnology
BPMC,Health Care,Biotechnology
BPY,Financials,Real Estate Services
BRKR,Health Care,Medical Devices
BYND,Consumer Staples,Packaged Foods
BZUN,Consumer Discretionary,Internet Retail
CACC,Financials,Credit Services
CAMP,Information Technology,Communication Equipment
CAR,Industrials,Rental & Leasing Services
CARA,Health Care,Biotechnology
CASY,Consumer Staples,Grocery Stores
CBPO,Health Care,Biotechnology
CBRL,Consumer Discretionary,Restaurants
CDNS,Information technology,Software—Application
CDW,Information Technology,Information Technology Service
CERN,Health Care,Health Information Services
CEVA,Information Technology,Semiconductors
CHDN,Consumer Discretionary,Gambling
CHKP,Information Technology,Software—Infrastructure
CHRS,Health Care,Biotechnology
CHRW,Industrials,Integrated Freight & Logistics
CHTR,Communication Services,Entertainment
CINF,Financials,Insurance—Property & Casualty
CLLS,Health Care,Biotechnology
CLMT,Energy,Oil & Gas E&P
CMCSA,Communication Services,Entertainment
CME,Financials,Financial Data & Stock Exchang
CNMD,Health Care,Medical Devices
CODX,Health Care,Diagnostics & Research
COMM,Information Technology,Communication Equipment
CORE,Consumer Discretionary,Food Distribution
COST,Consumer Staples,Discount Stores
COUP,Information Technology,Software—Application
CPRT,Industrials,Specialty Business Services
CRBP,Health Care,Biotechnology
CREE,Information Technology,Semiconductors
CRON,Health Care,Drug Manufacturers—Specialty &
CROX,Consumer Discretionary,Footwear & Accessories
CRUS,Information Technology,Semiconductors
CRWD,Information Technology,Software—Infrastructure
CSCO,Information Technology,Communication Equipment
CSGP,Industrials,Real Estate Services
CSIQ,Energy,Solar
CSOD,Information Technology,Software—Application
CSX,Industrials,Railroads
CTAS,Industrials,Specialty Business Services
CTSH,Information Technology,Information Technology Service
CTXS,Information Technology,Software—Application
CYBR,Information Technology,Software—Infrastructure
CZR,Consumer Discretionary,Resorts & Casinos
DBX,Information Technology,Software—Infrastructure
DENN,Consumer Discretionary,Restaurants
DISCA,Communication Services,Entertainment
DISH,Communication Services,Entertainment
DKNG,Consumer Discretionary,Gambling
DLTR,Consumer Discretionary,Discount Stores
DNKN,Consumer Discretionary,Restaurants
DOCU,Information Technology,Software—Application
DXCM,Health Care,Diagnostics & Research
EA,Communication Services,Electronic Gaming & Multimedia
EBAY,Consumer Discretionary,Internet Retail
EDIT,Health Care,Biotechnology
EEFT,Information Technology,Software—Infrastructure
EHTH,Financials,Insurance Brokers
ENPH,Information Technology,Solar
